Id,I.0408,I.0409,I.0424,I.0525
wavelength_nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm,irradiance_W/m^2/nm
592,7.600279,7.386608,12.002,51.723699
593,7.587044,7.375907,12.07,51.676097
594,7.559389,7.36483,12.148,51.531184
595,7.549159,7.360163,12.213,51.288368
596,7.527997,7.355576,12.289,51.143487
597,7.514089,7.358349,12.358,51.042901
598,7.505231,7.374346,12.429,50.758346
599,7.484108,7.372107,12.508,50.544536
600,7.469766,7.381222,12.569,50.303706
601,7.453308,7.387471,12.629,50.037267
602,7.451289,7.402928,12.694,49.731051
603,7.442539,7.412892,12.774,49.428166
604,7.44684,7.431943,12.832,48.998918
605,7.438069,7.431626,12.9,48.731328
606,7.429855,7.431076,12.973,48.26725
607,7.419593,7.420106,13.043,47.902229
608,7.420526,7.418509,13.109,47.47838
609,7.426116,7.408998,13.181,47.115014
610,7.431973,7.410119,13.255,46.651295
611,7.428254,7.389672,13.319,46.216882
612,7.436942,7.38342,13.388,45.701263
613,7.437563,7.368376,13.453,45.194668
614,7.447829,7.356638,13.532,44.74563
615,7.452277,7.348926,13.599,44.155979
616,7.453775,7.333286,13.645,43.701635
617,7.442594,7.312462,13.709,43.107563
618,7.447238,7.313132,13.792,42.612
619,7.443108,7.306166,13.86,42.048363
620,7.447063,7.309728,13.935,41.559209
621,7.443646,7.30863,14.001,40.943039
622,7.439568,7.308205,14.061,40.358615
623,7.412605,7.29675,14.142,39.799481
624,7.396507,7.294899,14.203,39.216134
625,7.37102,7.285594,14.279,38.563629
626,7.35315,7.283488,14.349,38.050667
627,7.328534,7.276373,14.415,37.394481
628,7.313663,7.281709,14.482,36.757749
629,7.295684,7.276266,14.567,36.152654
630,7.298876,7.296753,14.63,35.513367
631,7.28999,7.30203,14.693,34.873174
632,7.27048,7.296327,14.77,34.292235
633,7.236851,7.276861,14.842,33.61644
634,7.208338,7.255626,14.916,33.02065
635,7.169321,7.22419,14.98,32.364343
636,7.146881,7.199286,15.042,31.788254
637,7.112931,7.160182,15.138,31.185001
638,7.095016,7.136113,15.202,30.567583
639,7.068018,7.102812,15.279,29.847068
640,7.055021,7.0833,15.335,29.305048
641,7.037267,7.05022,15.404,28.641587
642,7.040693,7.040984,15.474,28.060489
643,7.026972,7.015786,15.544,27.463207
644,7.035365,7.012915,15.626,26.865991
645,7.036526,7.005319,15.685,26.288946
646,7.069457,7.021947,15.768,25.637848
647,7.098303,7.044444,15.831,25.030905
648,7.147561,7.085601,15.9,24.438211
649,7.164579,7.099013,15.97,23.861651
650,7.181024,7.115753,16.053,23.304065
651,7.10672,7.041959,16.128,22.672897
652,7.013931,6.948581,16.17,22.121413
653,6.930574,6.866454,16.203,21.589499
654,6.889851,6.828472,16.29,21.038576
655,6.846577,6.794069,16.383,20.468584
656,6.828964,6.785251,16.454,19.906618
657,6.80111,6.767431,16.528,19.354095
658,6.793518,6.766092,16.598,18.857609
659,6.781708,6.760412,16.65,18.255562
660,6.765767,6.754662,16.72,17.700289
661,6.769934,6.766821,16.789,17.25882
662,6.770274,6.770752,16.857,16.705611
663,6.786316,6.783192,16.918,16.262031
664,6.785943,6.782038,17.017,15.74299
665,6.809604,6.800825,17.068,15.302953
666,6.815748,6.799195,17.128,14.78212
667,6.841011,6.818336,17.214,14.380464
668,6.848222,6.809083,17.297,13.915008
669,6.863462,6.801873,17.345,13.484182
670,6.854674,6.774955,17.407,13.014536
671,6.864385,6.768186,17.487,12.582651
672,6.862481,6.744649,17.55,12.178359
673,6.868293,6.724734,17.608,11.666784
674,6.874846,6.703225,17.683,11.311025
675,6.868054,6.676264,17.769,10.876454
676,6.871381,6.660987,17.842,10.551102
677,6.85896,6.62785,17.9,10.137475
678,6.862515,6.615683,17.971,9.809113
679,6.857436,6.595137,18.024,9.382439
680,6.888285,6.608145,18.096,9.047182
681,6.939299,6.648621,18.158,8.659003
682,7.089819,6.787925,18.215,8.332174
683,7.306912,6.996695,18.273,7.951719
684,7.420778,7.109426,18.361,7.556966
685,7.339841,7.039272,18.432,7.26927
686,7.233477,6.943264,18.494,6.891224
687,7.180316,6.909819,18.557,6.634045
688,7.14193,6.894356,18.639,6.289691
689,7.14218,6.918512,18.692,6.02302
690,7.098451,6.890528,18.75,5.675742
691,7.022887,6.844365,18.81,5.431122
692,6.909696,6.763637,18.867,5.099568
693,6.781984,6.679747,18.938,4.790398
694,6.706934,6.62294,19.012,4.553631
695,6.596561,6.542749,19.09,4.221986
696,6.514051,6.486512,19.162,4.020724
697,6.428936,6.424054,19.191,3.755357
698,6.393129,6.408658,19.252,3.568201
699,6.347751,6.379816,19.308,3.286203
700,6.3179,6.360472,19.38,3.082958
701,6.267271,6.316958,19.447,2.845236
702,6.228188,6.26665,19.533,2.586683
703,6.202244,6.235175,19.611,2.4354
704,6.173162,6.19178,19.681,2.210485
705,6.177476,6.170904,19.748,2.064156
706,6.177426,6.135761,19.813,1.873329
707,6.211958,6.134411,19.9,1.747188
708,6.26691,6.129867,19.975,1.588563
709,6.326523,6.124258,20.036,1.4243
710,6.422139,6.14998,20.08,1.311743
711,6.506402,6.163735,20.164,1.170814
712,6.606542,6.187525,20.244,1.084019
713,6.652739,6.149581,20.301,0.98107
714,6.648934,6.026272,20.365,0.883105
715,6.609322,5.891984,20.431,0.805615
716,6.524125,5.719833,20.477,0.699623
717,6.460465,5.57055,20.539,0.652677
718,6.384802,5.403298,20.577,0.5896
719,6.321864,5.248386,20.639,0.526165
720,6.180267,5.013134,20.679,0.479677
721,6.053525,4.807215,20.744,0.448956
722,5.980079,4.651416,20.822,0.415058
723,5.911238,4.501211,20.867,0.3518
724,5.904282,4.401043,20.936,0.338166
